Date,Open,High,Low,Close,Volume,DayOfWeek,Month,PriceChange
2011-03-08,24.6,24.959999,24.0,24.66,1399900,1,3,-0.011226984313272403
2011-03-09,24.66,24.99,24.27,24.719999,924800,2,3,0.0024330494728306284
2011-03-10,24.440001,24.49,23.73,24.01,1017000,3,3,-0.028721643556700815
2011-03-11,23.85,24.25,23.530001,24.07,930800,4,3,0.002498958767180204
2011-03-14,23.82,24.0,23.200001,23.25,1166000,0,3,-0.034067303697548845
2011-03-15,22.200001,22.959999,21.799999,22.950001,1318800,1,3,-0.012903182795698909
2011-03-16,22.860001,23.25,22.690001,22.82,1169700,2,3,-0.00566453134359346
2011-03-17,23.24,23.43,22.639999,22.809999,922600,3,3,-0.0004382559158632171
2011-03-18,23.190001,23.190001,22.51,22.959999,687900,4,3,0.006576063418503475
2011-03-21,23.049999,23.049999,22.540001,22.73,411700,0,3,-0.010017378485077444
2011-03-22,22.73,22.860001,22.0,22.190001,582900,1,3,-0.023757105147382385
2011-03-23,22.110001,22.27,21.77,22.209999,422800,2,3,0.0009012167236945867
2011-03-24,22.139999,22.379999,21.98,22.33,462200,3,3,0.005403016902431945
2011-03-25,22.43,23.0,22.4,22.75,568000,4,3,0.018808777429467183
2011-03-28,22.700001,23.540001,22.549999,23.25,1058100,0,3,0.0219780219780219
2011-03-29,23.299999,24.0,23.209999,23.92,755400,1,3,0.02881720430107526
2011-03-30,24.110001,24.49,23.01,23.709999,1223300,2,3,-0.008779306020066935
2011-03-31,26.549999,28.709999,26.5,27.75,11517800,3,3,0.17039228892417912
2011-04-01,27.450001,28.18,26.57,26.66,2864800,4,4,-0.03927927927927932
2011-04-04,26.83,27.0,25.23,25.83,2609300,0,4,-0.03113278319579904
2011-04-05,25.9,27.0,25.690001,26.700001,3180900,1,4,0.03368180410375543
2011-04-06,26.99,27.01,25.799999,26.49,1288300,2,4,-0.007865205697932476
2011-04-07,26.85,27.940001,26.450001,27.24,2810300,3,4,0.028312570781426905
2011-04-08,27.58,27.6,26.360001,26.49,1946400,4,4,-0.02753303964757714
2011-04-11,26.469999,26.530001,25.02,25.27,1369400,0,4,-0.046055115137787817
2011-04-12,25.08,25.209999,24.299999,24.65,1357400,1,4,-0.024535021764938714
2011-04-13,25.129999,25.690001,24.809999,24.93,1211500,2,4,0.011359026369168301
2011-04-14,24.870001,25.280001,24.200001,25.139999,983400,3,4,0.008423545928600173
2011-04-15,25.65,26.18,25.41,25.58,943500,4,4,0.017502029335800584
2011-04-18,25.129999,25.620001,24.360001,25.030001,1033900,0,4,-0.021501133698201724
2011-04-19,25.26,25.26,24.65,25.16,548700,1,4,0.005193727319467545
2011-04-20,25.700001,26.09,25.299999,25.75,837200,2,4,0.02344992050874395
2011-04-21,25.85,26.98,25.59,26.74,1386100,3,4,0.03844660194174754
2011-04-25,26.700001,26.73,25.969999,26.389999,800900,0,4,-0.013089042632759895
2011-04-26,26.66,27.25,26.309999,26.93,1400000,1,4,0.020462334992888742
2011-04-27,26.93,27.360001,26.629999,27.08,996900,2,4,0.005569996286669099
2011-04-28,27.07,27.690001,26.719999,27.66,1600000,3,4,0.021418020679468297
2011-04-29,27.690001,27.870001,27.42,27.6,726000,4,4,-0.002169197396963085
2011-05-02,27.6,27.799999,27.059999,27.450001,784600,0,5,-0.005434746376811628
2011-05-03,27.379999,27.389999,26.5,26.870001,913900,1,5,-0.021129325277620237
2011-05-04,26.780001,27.0,25.75,26.690001,1044500,2,5,-0.006698920480129433
2011-05-05,27.200001,27.440001,26.17,26.440001,1218500,3,5,-0.009366803695511239
2011-05-06,26.9,27.700001,26.620001,27.120001,981700,4,5,0.025718607196724363
2011-05-09,27.0,28.0,26.85,27.91,916400,0,5,0.029129755563062076
2011-05-10,28.24,28.950001,27.91,28.33,1535300,1,5,0.015048369759942615
2011-05-11,28.200001,28.299999,26.92,27.07,962500,2,5,-0.044475820684786393
2011-05-12,27.07,27.74,26.65,27.67,628000,3,5,0.02216475803472484
2011-05-13,28.0,28.190001,27.299999,27.549999,661500,4,5,-0.0043368630285508525
2011-05-16,27.99,27.99,26.549999,26.6,755700,0,5,-0.0344827235746904
2011-05-17,27.0,27.0,25.719999,25.959999,1234200,1,5,-0.024060187969924818
2011-05-18,26.1,26.469999,25.52,26.35,729500,2,5,0.015023151580244809
2011-05-19,27.030001,28.440001,26.6,28.200001,2655100,3,5,0.07020876660341546
2011-05-20,28.26,28.280001,27.35,27.969999,842500,4,5,-0.008156099001556782
2011-05-23,27.620001,27.620001,26.620001,26.82,863600,0,5,-0.04111544658975497
2011-05-24,27.02,27.5,26.6,26.719999,613700,1,5,-0.003728598061148336
2011-05-25,26.9,29.01,26.17,28.98,4693100,2,5,0.08458087891395505
2011-05-26,28.82,29.76,28.1,29.48,3336900,3,5,0.017253278122843385
2011-05-27,29.540001,29.67,28.82,29.549999,1687100,4,5,0.0023744572591586355
2011-05-31,29.690001,30.280001,29.549999,30.139999,3290500,1,5,0.01996615972812732
2011-06-01,30.0,30.1,28.379999,28.52,1529900,2,6,-0.05374913914230717
2011-06-02,28.52,29.32,28.51,28.76,986300,3,6,0.008415147265077305
2011-06-03,29.950001,31.5,29.5,30.129999,6209200,4,6,0.047635570236439495
2011-06-06,30.1,30.129999,28.26,28.700001,2331100,0,6,-0.04746093751944702
2011-06-07,28.940001,29.389999,28.26,28.370001,1222100,1,6,-0.011498257439085169
2011-06-08,28.440001,28.6,27.02,27.120001,1695900,2,6,-0.04406062587026349
2011-06-09,27.43,28.1,27.1,27.620001,1603200,3,6,0.018436577491276696
2011-06-10,27.52,28.299999,27.35,27.860001,1566600,4,6,0.008689355224860584
2011-06-13,28.07,28.879999,27.879999,28.43,1713400,0,6,0.02045940342931063
2011-06-14,28.540001,29.700001,28.52,28.6,1573400,1,6,0.0059795990151250145
2011-06-15,28.440001,28.450001,27.07,27.32,1345000,2,6,-0.04475524475524484
2011-06-16,27.67,28.0,25.74,26.5,1842200,3,6,-0.03001464128843334
2011-06-17,26.870001,27.700001,26.139999,26.5,1714000,4,6,0.0
2011-06-20,26.290001,26.459999,25.5,26.01,1537800,0,6,-0.0184905660377358
2011-06-21,26.24,27.73,26.0,27.530001,1496000,1,6,0.058439100346020734
2011-06-22,27.370001,28.25,27.1,27.209999,1475600,2,6,-0.011623755480430153
2011-06-23,27.200001,27.719999,26.209999,27.709999,1170000,3,6,0.018375597882234418
2011-06-24,27.639999,27.969999,27.26,27.57,3608500,4,6,-0.005052291773810613
2011-06-27,27.73,28.280001,27.309999,27.459999,1809400,0,6,-0.003989880304679061
2011-06-28,27.790001,28.25,27.67,28.110001,889200,1,6,0.0236708675772348
2011-06-29,28.5,29.09,28.07,28.290001,1461800,2,6,0.0064034149269507346
2011-06-30,28.5,29.33,28.4,29.129999,946700,3,6,0.02969239909182053
2011-07-01,29.07,29.6,28.799999,29.02,854900,4,7,-0.0037761415645775065
2011-07-05,29.02,29.52,28.709999,29.139999,996000,1,7,0.004135044796691911
2011-07-06,29.139999,29.139999,28.549999,28.959999,926900,2,7,-0.006177076395918912
2011-07-07,29.139999,30.0,29.01,29.73,1327900,3,7,0.026588433238550868
2011-07-08,29.889999,29.889999,28.59,28.809999,1240600,4,7,-0.030945206861755725
2011-07-11,28.4,28.530001,28.0,28.35,975800,0,7,-0.015966644080758208
2011-07-12,28.370001,29.09,28.0,28.17,1045400,1,7,-0.006349206349206327
2011-07-13,28.43,29.030001,27.9,28.639999,1066000,2,7,0.016684380546680755
2011-07-14,28.530001,28.959999,27.25,27.610001,1159000,3,7,-0.03596361857414865
2011-07-15,27.790001,27.83,27.4,27.58,709000,4,7,-0.001086599018957024
2011-07-18,27.34,27.450001,26.629999,27.23,851900,0,7,-0.01269035532994911
2011-07-19,27.58,28.110001,27.540001,27.889999,1026100,1,7,0.02423793609988989
2011-07-20,28.0,30.440001,27.799999,28.690001,3048300,2,7,0.028684188909436692
2011-07-21,28.91,29.16,28.1,28.700001,1011500,3,7,0.0003485534908138632
2011-07-22,28.700001,29.540001,28.549999,29.290001,583500,4,7,0.020557490572909787
2011-07-25,29.01,29.25,28.440001,28.49,673300,0,7,-0.027313109344038633
2011-07-26,28.309999,28.77,27.969999,28.0,760600,1,7,-0.017199017199017175
2011-07-27,28.5,28.5,27.51,27.639999,958500,2,7,-0.01285717857142854
2011-07-28,27.6,28.549999,27.540001,28.17,938700,3,7,0.019175145411546524
2011-07-29,27.799999,28.4,27.5,28.17,948200,4,7,0.0
2011-08-01,28.67,28.98,28.209999,28.77,1164900,0,8,0.021299254526091493
2011-08-02,28.690001,29.200001,27.27,27.34,1549400,1,8,-0.04970455335418833
2011-08-03,27.5,27.83,26.34,27.200001,1794500,2,8,-0.005120665691294768
2011-08-04,26.51,26.889999,24.67,24.75,3064500,3,8,-0.0900735628649425
2011-08-05,24.99,25.379999,22.83,24.24,1964400,4,8,-0.020606060606060628
2011-08-08,23.1,24.440001,23.1,23.639999,2608500,0,8,-0.024752516501650113
2011-08-09,24.15,25.450001,23.700001,25.059999,1333400,1,8,0.06006768443602728
2011-08-10,25.440001,25.440001,23.629999,23.82,1564200,2,8,-0.0494812070822509
2011-08-11,24.040001,25.75,24.0,25.299999,836500,3,8,0.06213261964735506
2011-08-12,25.6,27.139999,25.360001,26.309999,1009100,4,8,0.039920950194503924
2011-08-15,26.620001,26.75,25.93,26.23,738600,0,8,-0.0030406310543760195
2011-08-16,26.129999,26.540001,25.83,26.1,537700,1,8,-0.004956157072054879
2011-08-17,26.389999,26.65,25.51,25.83,643700,2,8,-0.010344827586207028
2011-08-18,25.0,25.15,23.469999,24.26,1056600,3,8,-0.06078203639179236
2011-08-19,23.860001,24.219999,22.0,22.299999,1375300,4,8,-0.08079146743610888
2011-08-22,23.110001,23.799999,21.68,21.950001,986100,0,8,-0.015694978282285943
2011-08-23,21.93,23.110001,21.5,22.959999,869000,1,8,0.046013574213504604
2011-08-24,23.1,23.93,22.83,23.870001,684300,2,8,0.03963423517570708
2011-08-25,23.870001,23.870001,22.9,23.110001,679800,3,8,-0.031839127279466695
2011-08-26,22.709999,23.950001,22.07,23.73,761800,4,8,0.02682816846264946
2011-08-29,24.219999,24.85,24.02,24.709999,803400,0,8,0.04129789296249475
2011-08-30,24.5,24.77,24.09,24.629999,366200,1,8,-0.0032375557765096374
2011-08-31,24.799999,25.5,24.280001,24.74,823800,2,8,0.0044661390363838205
2011-09-01,24.66,24.870001,23.84,24.0,848100,3,9,-0.029911075181891622
2011-09-02,23.66,23.99,22.68,23.07,769900,4,9,-0.03874999999999995
2011-09-06,22.5,23.200001,22.290001,22.940001,809800,1,9,-0.005634980494148345
2011-09-07,23.389999,24.0,23.280001,23.84,459200,2,9,0.03923273586605336
2011-09-08,23.58,24.030001,23.280001,23.610001,505700,3,9,-0.009647609060402629
2011-09-09,23.370001,23.57,22.549999,22.969999,669300,4,9,-0.027107241545648364
2011-09-12,22.5,23.309999,22.450001,22.879999,566600,0,9,-0.0039181542846388195
2011-09-13,23.01,24.1,22.75,24.08,726500,1,9,0.05244759844613611
2011-09-14,24.25,24.84,23.790001,24.34,830800,2,9,0.010797342192691017
2011-09-15,24.58,24.93,24.33,24.82,562600,3,9,0.019720624486442073
2011-09-16,24.780001,25.84,24.49,25.799999,1417100,4,9,0.03948424657534244
2011-09-19,24.950001,25.809999,23.82,25.77,1157400,0,9,-0.0011627519830523791
2011-09-20,25.98,26.6,25.67,26.01,1180400,1,9,0.0093131548311991
2011-09-21,25.950001,26.950001,25.700001,25.85,987600,2,9,-0.006151480199923065
2011-09-22,25.639999,26.110001,24.879999,25.629999,775800,3,9,-0.008510676982591892
2011-09-23,25.49,26.620001,25.35,26.379999,1156400,4,9,0.029262584052383245
2011-09-26,26.52,26.52,24.9,25.52,934800,0,9,-0.032600418218363125
2011-09-27,26.0,26.99,25.57,26.190001,674500,1,9,0.02625395768025074
2011-09-28,26.0,26.5,24.51,24.59,723300,2,9,-0.06109205570477061
2011-09-29,25.719999,25.82,23.549999,24.120001,929600,3,9,-0.01911342008946737
2011-09-30,24.799999,24.889999,23.49,24.389999,1336100,4,9,0.011193946467912719
2011-10-03,24.950001,25.0,23.25,23.73,1023200,0,10,-0.027060230711776545
2011-10-04,23.290001,24.32,22.93,23.66,1200300,1,10,-0.002949852507374673
2011-10-05,24.030001,25.84,23.35,25.370001,1229500,2,10,0.07227392223161444
2011-10-06,25.370001,27.6,25.02,26.959999,1769100,3,10,0.06267236646935892
2011-10-07,26.98,27.6,26.049999,26.99,1311600,4,10,0.0011127967771809022
2011-10-10,27.309999,28.18,27.0,27.879999,923500,0,10,0.032975138940348314
2011-10-11,27.51,27.77,27.09,27.610001,575700,1,10,-0.009684290160842601
2011-10-12,27.25,28.0,27.200001,27.799999,1123400,2,10,0.0068814919637272265
2011-10-13,27.629999,28.469999,27.440001,27.940001,1043500,3,10,0.005036043346620334
2011-10-14,28.0,28.549999,27.26,28.049999,1400500,4,10,0.003936936151147652
2011-10-17,27.860001,28.0,27.26,27.42,754500,0,10,-0.02245985819821239
2011-10-18,27.299999,28.43,26.709999,28.34,999700,1,10,0.03355215171407733
2011-10-19,28.02,28.059999,27.299999,27.57,792900,2,10,-0.0271700776287932
